,url,title,total_score,text,price,category,aspects
0,https://www.google.com/maps/search/?api=1&query=%C4%90%E1%BB%93i%20M%C3%A2y%20%C4%90%C3%A0%20L%E1%BA%A1t&query_place_id=ChIJG89JVW8RcTERFMw-dWzXA3c,đồi mây đà lạt,4.5,"Lần ghé đồi mây đà lạt vừa rồi, mình cảm nhận mình đến gần trưa nên không kịp săn mây, nhưng bù lại vẫn ngắm và tìm hiểu được nhiều loại hoa. vô vàn chủng loại và mà sắc luôn hơn nữa hỏi bạn nhân viên ở đây, bạn khá thân thiện và nhiệt tình giới thiệu các loài hoa ở đây: hoa viola hoa triệu chuông hoa ngũ sắc hoa sim rừng hoa mua thái lồng đèn hoa ngọc thảo và các loại hoa nổi tiếng khác. cám ơn điểm tham quan, hy vọng có dịp quay lại với không gian săn mây nữa là hoàn hảo..",,tour,"{'LOCATION': 'POSITIVE', 'EXPERIENCE#ACTIVITY': 'NEUTRAL', 'SERVICE#STAFF': 'POSITIVE', 'ENVIRONMENT#ATMOSPHERE': 'POSITIVE'}"
1,https://www.google.com/maps/search/?api=1&query=Khu%20vui%20ch%C6%A1i%20Dalat%20Wonderland&query_place_id=ChIJR-Vg6JtrcTERYyYuo7kdjiw,khu vui chơi dalat wonderland,3.8,"Một dịp ghé thăm khu vui chơi dalat wonderland, mình thấy khá tuyệt vời.. nhưng cần thời gian hoàn thiện các khu thú.",,tour,{}
2,https://www.google.com/maps/search/?api=1&query=Khu%20vui%20ch%C6%A1i%20Dalat%20Wonderland&query_place_id=ChIJR-Vg6JtrcTERYyYuo7kdjiw,khu vui chơi dalat wonderland,3.8,"view đẹp, rộng rãi thoáng mát, mà hơi xa trung tâm đi mất 30p, khó đón xe. Lần ghé đó là khu vui chơi dalat wonderland.",,tour,"{'LOCATION': 'NEGATIVE', 'ENVIRONMENT#SCENERY': 'POSITIVE', 'ENVIRONMENT#ATMOSPHERE': 'NEUTRAL'}"
3,https://www.google.com/maps/search/?api=1&query=S%C4%83n%20m%C3%A2y%20Panorama%20C%E1%BA%A7u%20%C4%90%E1%BA%A5t&query_place_id=ChIJWwBJX_kRcTERe1CHho6Q2IA,săn mây panorama cầu đất,3.8,"Về săn mây panorama cầu đất, mình có vài điều muốn nói: rất đẹp nhưng phải đi sớm nhược điểm đường vào nhỏ 2 xe tránh nhau khó khăn đi bộ từ ngoài bãi xe gần 500m đối với xe 29c hay 45c còn xe nhỏ vào tới nơi",,tour,{'LOCATION': 'POSITIVE'}
4,https://www.google.com/maps/search/?api=1&query=S%C4%83n%20m%C3%A2y%20Panorama%20C%E1%BA%A7u%20%C4%90%E1%BA%A5t&query_place_id=ChIJWwBJX_kRcTERe1CHho6Q2IA,săn mây panorama cầu đất,3.8,"Một hôm ghé săn mây panorama cầu đất, mình thấy view đẹp, có thể săn mây. nhưng giá vé vào cửa còn cao.",,tour,"{'ENVIRONMENT#SCENERY': 'POSITIVE', 'PRICE': 'NEGATIVE'}"
5,https://www.google.com/maps/search/?api=1&query=Khu%20vui%20ch%C6%A1i%20Dalat%20Wonderland&query_place_id=ChIJR-Vg6JtrcTERYyYuo7kdjiw,khu vui chơi dalat wonderland,3.8,khu vui chơi tuyệt vời. Một trải nghiệm tại khu vui chơi dalat wonderland.,,tour,{'EXPERIENCE#ACTIVITY': 'POSITIVE'}
6,https://www.google.com/maps/search/?api=1&query=Khu%20vui%20ch%C6%A1i%20Dalat%20Wonderland&query_place_id=ChIJR-Vg6JtrcTERYyYuo7kdjiw,khu vui chơi dalat wonderland,3.8,"Sau khi ghé thăm khu vui chơi dalat wonderland, mình thấy chơi vui, nhiều trò, cảnh đẹp, nên vào chơi nhé mọi người.",,tour,"{'ENVIRONMENT#SCENERY': 'POSITIVE', 'EXPERIENCE#ACTIVITY': 'NEUTRAL'}"
7,https://www.google.com/maps/search/?api=1&query=Khu%20vui%20ch%C6%A1i%20Dalat%20Wonderland&query_place_id=ChIJR-Vg6JtrcTERYyYuo7kdjiw,khu vui chơi dalat wonderland,3.8,"Về khu vui chơi dalat wonderland, mình có nhận xét là kdl có rất nhiều trò chơi cảm giác để trải nghiệm , nhân viên rất nhiệt tình.",,tour,"{'ENVIRONMENT#ATMOSPHERE': 'NEUTRAL', 'SERVICE#STAFF': 'POSITIVE', 'EXPERIENCE#ACTIVITY': 'NEUTRAL'}"
8,https://www.google.com/maps/search/?api=1&query=Khu%20vui%20ch%C6%A1i%20Dalat%20Wonderland&query_place_id=ChIJR-Vg6JtrcTERYyYuo7kdjiw,khu vui chơi dalat wonderland,3.8,0k thì hơi mắc cho trải nghiệm này!. Mình đã cảm nhận điều này tại khu vui chơi dalat wonderland.,,tour,"{'PRICE': 'NEGATIVE', 'EXPERIENCE#ACTIVITY': 'NEUTRAL'}"
9,https://www.google.com/maps/search/?api=1&query=Khu%20vui%20ch%C6%A1i%20Dalat%20Wonderland&query_place_id=ChIJR-Vg6JtrcTERYyYuo7kdjiw,khu vui chơi dalat wonderland,3.8,"Cảm nhận của tôi về khu vui chơi dalat wonderland là training lại nhân viên ở quầy bán vé nhé nói chuyện với khách nghênh nghênh khó chịu vô cùng, mình bỏ tiền ra để chơi thì dịch vụ mà nhân viên lếu nhếu là không hề thích tí nào nhé, trò chơi thì cấm tùm lum giá vé thì không giảm mà còn giới hạn đủ trò từ số tuổi tới số không rồi còn giới hạn vì thời tiết dạo này không tốt, mà tiền vé thì không giảm mà trò chơi thì không cho chơi ban đầu mình tới 11h, tài xế bên mình hỏi tài xế có được gì không thì hẹn là phải báo trước nên 1h quay lại đi, mình cũng đi để 1h quay lại rồi 1h mua vé thì bị giới hạn đủ thứ trò, rất làm mất thời gian nhau, người bên mình không biết thì hỏi mà hỏi tới thì thái độ vô cùng, dịch vụ khu vui chơi lớn, tự tin là to nhất nhì đà lạt mà training nhân viên kiểu này thì tôi cũng thua.",,tour,"{'PRICE': 'NEUTRAL', 'SERVICE#STAFF': 'NEGATIVE', 'EXPERIENCE#ACTIVITY': 'NEUTRAL'}"
