,url,title,total_score,text,price,category,aspects
0,https://www.google.com/maps/search/?api=1&query=Th%C3%B4n%20Y%C3%AAn%20Glamping&query_place_id=ChIJ2_UWMQATcTER572IJUUXDvE,thôn yên glamping,4.6,"mình đặt lẩu bên thôn, gặp một chút sự cố, thôn hổ trợ nhiệt tình để xử lý, lẩu giao ít hơn nên thôn liền giao thêm đủ lại cho mình. mình chấm 10 điểm xử lý của thôn. cảm ơn thôn nhiệt tình ạ. lẩu rất vừa vị.",25 US$,camping,"{'SERVICE#STAFF': 'POSITIVE', 'PRICE': 'NEUTRAL'}"
1,https://www.google.com/maps/search/?api=1&query=Th%C3%B4n%20Y%C3%AAn%20Glamping&query_place_id=ChIJ2_UWMQATcTER572IJUUXDvE,thôn yên glamping,4.6,"mình đặt kit niệm cưới cho ba mẹ ở đây. đồ ăn rất ngon, tươi. giá cả cũng hợp lí. không gian xinh xắn, đêm lên đèn còn đẹp nữa. chổ ở cũng rất ok, lều rộng, tư vấn và hỗ trợ nhiệt tình. các bạn rất phối hợp chiếu đèn, quay clip giúp gia đình mình, tạo không khí, cho mượn loa để hát và vui vẻ dưới khu lửa trại. nói chung là ưng ý",25 US$,camping,"{'ENVIRONMENT#ATMOSPHERE': 'POSITIVE', 'SERVICE#STAFF': 'POSITIVE'}"
2,https://www.google.com/maps/search/?api=1&query=Th%C3%B4n%20Y%C3%AAn%20Glamping&query_place_id=ChIJ2_UWMQATcTER572IJUUXDvE,thôn yên glamping,4.6,"không gian đẹp, nhưng cảm giác thiếu nhân viên , phục vụ chậm. quán có xe trung chuyển khá xịn dành cho đoàn đông.",25 US$,camping,"{'ENVIRONMENT#ATMOSPHERE': 'POSITIVE', 'SERVICE#STAFF': 'NEGATIVE'}"
3,https://www.google.com/maps/search/?api=1&query=Th%C3%B4n%20Y%C3%AAn%20Glamping&query_place_id=ChIJ2_UWMQATcTER572IJUUXDvE,thôn yên glamping,4.6,"đồ nướng ướp vị rất vừa miệng, đa dạng lựa chọn. lẩu măng cay thì lạ miệng, ấm lòng chiến sĩ giữa khung cảnh núi rừng được trang hoàng lộng lẫy và tiết trời lành lạnh. về nhà lại cả tuần rồi vẫn còn cảm giác thòm thèm đồ nướng ở thôn yên.",25 US$,camping,"{'ENVIRONMENT#SCENERY': 'POSITIVE', 'ENVIRONMENT#WEATHER': 'NEUTRAL', 'ENVIRONMENT#ATMOSPHERE': 'NEUTRAL'}"
4,https://www.google.com/maps/search/?api=1&query=Th%C3%B4n%20Y%C3%AAn%20Glamping&query_place_id=ChIJ2_UWMQATcTER572IJUUXDvE,thôn yên glamping,4.6,mình đã đến đây 3 tháng trước nhưng đồ ăn ngon quá hôm nay 18 5 minh lại đến đồ ăn ở đây rất ngon phục vụ dễ thương,25 US$,camping,{'SERVICE#STAFF': 'POSITIVE'}
5,https://www.google.com/maps/search/?api=1&query=Th%C3%B4n%20Y%C3%AAn%20Glamping&query_place_id=ChIJ2_UWMQATcTER572IJUUXDvE,thôn yên glamping,4.6,yên bình,25 US$,camping,{'ENVIRONMENT#ATMOSPHERE': 'POSITIVE'}
6,https://www.google.com/maps/search/?api=1&query=Th%C3%B4n%20Y%C3%AAn%20Glamping&query_place_id=ChIJ2_UWMQATcTER572IJUUXDvE,thôn yên glamping,4.6,"mình ít khi đánh giá nhưng phải nói là rất khen chỗ này nha, hôm mình gọi được phần bò mềm đúng ý siêu ngon luôn. không gian quán rộng rãi, đường vào cũng dễ, phục vụ nhiệt tình nữa. mọi người nên đi thử nha !!",25 US$,camping,"{'PRICE': 'NEUTRAL', 'LOCATION': 'POSITIVE', 'ENVIRONMENT#ATMOSPHERE': 'POSITIVE', 'SERVICE#STAFF': 'POSITIVE'}"
7,https://www.google.com/maps/search/?api=1&query=Th%C3%B4n%20Y%C3%AAn%20Glamping&query_place_id=ChIJ2_UWMQATcTER572IJUUXDvE,thôn yên glamping,4.6,"nước ngon, view đẹp",25 US$,camping,{'ENVIRONMENT#SCENERY': 'POSITIVE'}
8,https://www.google.com/maps/search/?api=1&query=Th%C3%B4n%20Y%C3%AAn%20Glamping&query_place_id=ChIJ2_UWMQATcTER572IJUUXDvE,thôn yên glamping,4.6,không gian chill dịch vụ ok,25 US$,camping,"{'ENVIRONMENT#ATMOSPHERE': 'POSITIVE', 'SERVICE#STAFF': 'NEUTRAL'}"
9,https://www.google.com/maps/search/?api=1&query=Th%C3%B4n%20Y%C3%AAn%20Glamping&query_place_id=ChIJ2_UWMQATcTER572IJUUXDvE,thôn yên glamping,4.6,"dịch vụ theo mình thấy ok nha, đồ ăn ngon nữa. nchung là sẽ cùng với bạn bè ghé lại nếu có dịp lại lên đà lạt",25 US$,camping,{'SERVICE#STAFF': 'NEUTRAL'}
